state,region,ssim,minimum,exact_pixel_agreement,pass
plain,whole,0.971904812681,0.950000000000,0.969979688856,true
plain,sidebar,0.976018391933,0.950000000000,0.979946360869,true
plain,tabs,0.950669142578,0.950000000000,0.975492294521,true
plain,summary,0.952104304126,0.950000000000,0.964675350020,true
plain,table,0.974806094215,0.950000000000,0.967600109341,true
plain,brand,1.000000000000,0.950000000000,1.000000000000,true
open,whole,0.967007711923,0.950000000000,0.957417466905,true
open,sidebar,0.976018391933,0.950000000000,0.979946360869,true
open,tabs,0.950669142578,0.950000000000,0.975492294521,true
open,summary,0.952104304126,0.950000000000,0.964675350020,true
open,table,0.960983102983,0.950000000000,0.946314367057,true
open,panel-header,0.976772916424,0.950000000000,0.968914110006,true
open,panel-fields,0.981533719845,0.950000000000,0.948083703384,true
open,panel-role,0.959847825280,0.950000000000,0.957357378148,true
open,panel-footer,0.979023428441,0.950000000000,0.941089646703,true
open,brand,1.000000000000,0.950000000000,1.000000000000,true
